vocab_id,vocab_new_id,word,meaning_ko,example_en,example_ko,동의어,entry_type,is_phrase,day,related_forms,source_list,source_count,priority_group
447,35,count on,"기대다, 의존하다",Companion animals are good friends that you can count on.,반려동물들은 의지할 수 있는 좋은 친구이다.,depend on,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
45,36,adjust,"적응하다; 조정하다, 맞추다",You can adjust the temperature of the room with this switch.,이 스위치로 방 온도를 조정할 수 있다.,adapt,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,9,A_능률본문
6628,37,yeast,"효모, 이스트",Yeast is used to make bread.,효모(이스트)는 빵을 만드는 데 사용된다.,leaven,word,FALSE,71,,PDF: 워드마스터 수능2000,1,D_기타
1243,38,outlet,"배출구, 표현 수단; 직판점, 아울렛; 【전기】 콘센트",Music gave him an outlet to express his feelings.,음악은 그에게 감정을 표출할 수 있는 표현 수단을 제공해 주었다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | 기존 엑셀 통합본,3,A_능률본문
6623,39,wrap,"싸다, 포장하다",Wrap the gift in paper.,선물을 종이로 싸라(포장지).,"cover, envelope",word,FALSE,8,,PDF: 능률_고교기본 일별 단어 목록,1,D_기타
1305,40,pile up,~을 쌓다; 축적하다,They are piling up the red bricks neatly.,그들은 빨간 벽돌을 반듯하게 쌓고 있다.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장,2,A_능률본문
198,41,biomass,"생물량; 바이오매스(에너지원으로 이용되는 생물체 폐기물, 생물 자원)",Biomass is a renewable resource.,바이오매스는 재생 가능한 자원이다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | 기존 엑셀 통합본,3,A_능률본문
755,42,float,"(물 위에) 뜨다, (물 위·공중에서) 떠다니다","An empty bottle floats, but as you fill it with water, it sinks.",빈 병은 물에 뜨지만 네가 그것을 물로 채우면 가라앉는다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,5,A_능률본문
1148,43,minority,소수(파); 소수 민족,Minorities that are active and advocate their position consistently help to create social change.,적극적이고 자신들의 입장을 지속적으로 변호하는 소수 집단들은 사회 변화를 만드는 데 도움이 된다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능,4,A_능률본문
6618,44,wipe,닦다,Wipe the table with a cloth.,천으로 테이블을 닦아라(씻어내다).,"clean, brush",word,FALSE,26,,PDF: 능률_고교기본 일별 단어 목록,1,D_기타
5336,45,barrel,"통, 배럴",Wine is aged in wooden barrels.,와인은 나무 통에서 숙성된다.,"cask, vat",word,FALSE,95,,PDF: 워드마스터 수능2000,1,D_기타
331,46,come over,"오다, 찾아오다; 엄습하다",We're going to have a party tonight. Can you come over?,우리는 오늘 밤 파티를 할 거야. 들를 수 있니?,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 어휘끝 수능,2,A_능률본문
4921,47,successor,"계승자, 후임자",Who is the successor to the throne?,왕위 계승자(후임자)는 누구입니까?,"heir, follower",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
4590,48,recipient,"수혜자, (어떤 것을) 받는 사람",Who is the recipient of the award?,수상자(수령인)는 누구입니까?,"receiver, winner",word,FALSE,,,PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장,2,C_EBS
156,49,author,"저자, 작가",William Shakespeare is the author of Hamlet .,윌리엄 셰익스피어는 '햄릿'의 저자이다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | 기존 엑셀 통합본,5,A_능률본문
4669,50,responsible,원인이 되는,Who is responsible for this mess?,이 엉망진창인 상태에 대해 누구에게 책임(원인이 되는)이 있나요?,"accountable, liable",word,FALSE,22,,PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록,2,C_EBS
926,51,in charge,"(~을) 맡고 있는, 담당의",Who is in charge of this project?,이 프로젝트의 책임자(맡고 있는)는 누구입니까?,"responsible, leading",word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
4696,52,route,"(지나는) 길, 경로",Which route should we take?,우리는 어느 경로(길/노선)로 가야 하나요?,"path, way",word,FALSE,24,,PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,4,C_EBS
3386,53,direction,방향,Which direction are we going?,우리는 어느 방향으로 가고 있나요?,"way, path",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
5074,54,type,"(특정한 성격·특징 등을 지닌) 요원,",What type of car do you have?,어떤 유형(타이핑하다/활자)의 차를 가지고 있나요?,"kind, sort",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
1357,55,profession,"직업, 전문직",What is your profession?,당신의 직업(전문직)은 무엇입니까?,"occupation, career",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | 기존 엑셀 통합본,5,A_능률본문
1216,56,occupation,"직업, 업무",She changed her occupation from a teacher to a writer.,그녀는 자신의 직업을 교사에서 작가로 바꾸었다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록,3,A_능률본문
1176,57,name,B의 이름을 따서 A의 이름을 짓다,What is your name?,당신의 이름(명평/지명하다)은 무엇입니까?,"title, identity",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장,2,A_능률본문
3594,58,favorite,가장 좋아하는 사람[것],What is your favorite color?,당신이 가장 좋아하는(좋아하는 사람/물건) 색은 무엇인가요?,"best-loved, preferred",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
1655,59,status,"지위, 신분",What is your current social status?,당신의 현재 사회적 지위(상태)는 무엇입니까?,"rank, condition",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,6,A_능률본문
6452,60,stuff,재료; 물건,What is this sticky stuff?,이 끈적끈적한 물건(물질/채우다)은 무엇인가요?,"material, substance",word,FALSE,,,기존 엑셀 통합본,1,D_기타
1417,61,reason,"이유; 근거; 이성 판단하다, 추론하다",All humans are capable of reason and are born with moral thinking. ( ),"모든 인간은 2이성적 판단을 할 수 있으며, 도덕적 판단력을 가지고 태어났다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | 기존 엑셀 통합본,6,A_능률본문
1389,62,purpose,"목적, 의도",What is the purpose of this study?,이 연구의 목적(의도)은 무엇입니까?,"goal, intent",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록,4,A_능률본문
1953,63,agenda,"명 의제, 안건 ((특정 시기에 정치적으로 중요한 이슈))","For the present government, the unemployment problem is at the top of the agenda.",현(現) 정부에게는 실업 문제가 최우선의 안건이다.,,word,FALSE,,,PDF: 어휘끝 수능 | 기존 엑셀 통합본,2,B_어휘끝
461,64,criterion,"표준, 기준, 척도",They use the criteria to evaluate their products and services.,그들은 제품과 서비스를 평가하기 위해 기준을 사용한다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록,4,A_능률본문
1643,65,stand for,"상징하다, 의미하다","It seems that the three performers stand for a king, a knight, and a","그 세 명의 연기자들이 왕, 기사, 소작농을 의미하는 것 같다.",,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 어휘끝 수능,2,A_능률본문
5179,66,want,"부족, 결핍",What do you want to do?,당신은 무엇을 하기 원하시나요(부족)?,"desire, wish",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
987,67,intend,의도하다; ~할 작정이다,I don't know what he intended in his article.,그가 그의 글에서 의도한 바를 모르겠다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,4,A_능률본문
2119,68,criteria,"명 () 기준, 표준","When people evaluate success, they each use their own criteria. [krit.ri]",사람들은 성공을 평가할 때 각자 자신만의 기준을 사용한다.,,word,FALSE,30,,PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,2,B_어휘끝
1103,69,mammal,"포유류, 포유동물","Although polar bears are mammals, they can swim a hundred miles or","비록 북극곰은 포유동물이지만, 100마일이나 그 이상을 수영할 수 있다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,5,A_능률본문
2683,70,synonymous,형 동의어[유의어]의; 아주 밀접한,"The words ""big"" and ""large"" are synonymous.",단어 'big'와 'large'는 동의어이다.,,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
1868,71,utmost,"최대의, 극도의 최대한도",All experimental equipment must be handled with the utmost care.,모든 실험 장비는 반드시 극도의 주의와 함께 다뤄져야 한다.,greatest,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,5,A_능률본문
1739,72,symphony,"교향곡, 심포니",The orchestra performed Beethoven's Fifth Symphony.,오케스트라는 베토벤의 교향곡 5번을 연주했다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,3,A_능률본문
6479,73,symphony,교향곡,The orchestra performed Beethoven's Fifth Symphony.,오케스트라는 베토벤의 교향곡 5번을 연주했다.,,word,FALSE,40,,PDF: 능률_고교필수2000 일별 단어 목록,1,D_기타
3319,74,cruise,천천히 달리다,We went on a luxury cruise.,우리는 호화 크루즈(유람선) 여행을 갔다.,"voyage, sail",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
2237,75,excursion,"명 짧은 여행, 소풍",Ashley and Jay took an excursion to the San Diego Zoo.,Ashley와 Jay는 샌디에이고 동물원으로 소풍을 갔다.,,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
3544,76,exhibition,"전시, 전시회",We visited an art exhibition.,우리는 미술 전시회(전시/드러냄)를 방문했다.,"show, display",word,FALSE,,,PDF: 2022 수능완성 단어장,2,C_EBS
1866,77,use up,"~을 다 써버리다, 소모하다",I used up my money buying game CDs.,나는 게임 CD를 사느라 돈을 다 써버렸다.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
2052,78,bypass,동 우회하다 명 우회 도로,"I heard there was a traffic jam on the highway, so I took the bypass. 38",나는 고속도로에 차가 막힌다는 것을 듣고 우회 도로로 갔다.,,word,FALSE,95,,PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,2,B_어휘끝
2274,79,generosity,"명 너그러움, 관대함","Out of gratitude for his generosity toward their children, the parents [´+nr$sti] 11","자녀들을 향한 그의 너그러움에 대한 감사로, 부모는 그를 저녁 식사에 종종 초대했다.",,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
1732,80,swap,"교환하다, 바꾸다 교환(품)",I swapped my books for hers.,나는 내 책을 그녀의 책과 교환했다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록,2,A_능률본문
6439,81,store,"저장하다 / 축적, 저장",We store our grain in the barn.,우리는 곡물을 곳간에 저장한다(상점/비축).,"shop, accumulation",word,FALSE,,,기존 엑셀 통합본,1,D_기타
1871,82,vacation,휴가,We spent our vacation at the beach.,우리는 해변에서 휴가를 보냈다.,"holiday, break",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록,2,A_능률본문
1955,83,agreeable,형 기분 좋은; 쾌활한,"Mary has an agreeable personality, so many people like her.",Mary는 쾌활한 성격이어서 많은 사람들이 그녀를 좋아한다.,,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
1049,84,lease,임대차 계약 임대하다,"While staying in Toronto, he leased a small apartment.","토론토에 머무는 동안, 그는 작은 아파트를 임차했다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,3,A_능률본문
2198,85,eco-friendly,형 환경친화적인,We can reduce global warming by consuming eco-friendly products.,우리는 환경친화적인 제품을 소비함으로써 지구 온난화를 줄일 수 있다.,,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
1074,86,local,"지역의, 현지의 주민, 현지인",Eating the local food is an essential part of travel.,현지 음식을 먹는 것은 여행에서 필수적인 부분이다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록,5,A_능률본문
4777,87,share,"(여러 사람이 나눠 가지는 것의) 몫, 지분",We should share the profits.,우리는 이익을 공유(나누다/몫/주식)해야 한다.,"divide, stock",word,FALSE,6,,PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | 기존 엑셀 통합본,5,C_EBS
4599,88,recycle,재활용하다,We should recycle paper and plastic.,우리는 종이와 플라스틱을 재활용해야 한다.,"reuse, salvage",word,FALSE,31,,PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 워드마스터 수능2000,3,C_EBS
595,89,do away with,"~을 없애다, 끝내다",Abundant timber would do away with the country's need to import,풍부한 목재는 그 나라의 나무 수입에 대한 필요를 없앨 것이다.,get rid of,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 어휘끝 수능,2,A_능률본문
480,90,cut down,"~을 베어 넘어뜨리다, 벌목하다",They cut down all the trees.,그들은 모든 나무를 베었다.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
347,91,common,"일반의, 흔한; 공통의",Cancer is one of the most common causes of death.,암은 가장 흔한 사망 원인 중 하나이다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록,4,A_능률본문
2630,92,shade,명 그늘 동 그늘지게 하다,"It's too hot to be out in the sun, but there is no shade in sight.",뙤약볕에 있는 것이 너무 더운데 보이는 곳에 그늘이 없다.,,word,FALSE,,,PDF: 2022 수능완성 단어장 | PDF: 어휘끝 수능 | 기존 엑셀 통합본,3,B_어휘끝
1459,93,rent,"임대하다, 빌리다 세, 집세",How much rent do you pay for this house?,이 집의 집세로 얼마나 내십니까?,rental,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,4,A_능률본문
2578,94,reception,"명 접수처, 안내 데스크; 환영(회); (전화 등의) 수신 (상태)",We arranged to meet in reception at 6:30 a.m.,우리는 오전 6시 30분에 안내 데스크에서 만나기로 정했다.,,word,FALSE,41,,PDF: 2022 수능완성 단어장 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,3,B_어휘끝
2101,95,cordial,"형 마음에서 우러난; 다정한, 따뜻한","Contrary to his expectations, the atmosphere of his new school was cordial and relaxed.","그의 예상과는 반대로, 새로 들어간 학교의 분위기는 따뜻하고 편안했다.",sincere,word,FALSE,,,PDF: 어휘끝 수능,1,B_어휘끝
