vocab_id,vocab_new_id,word,old_meaning_ko,new_meaning_ko,reasons
198,41,biomass,"1. 생물량 2. 바이오매스(에너지원으로 이용되는 생물체 폐기물, 생물 자원)","생물량; 바이오매스(에너지원으로 이용되는 생물체 폐기물, 생물 자원)",numbered_markers_removed|wide_space_normalized
1148,43,minority,1. 소수(파) 2. 소수 민족,소수(파); 소수 민족,numbered_markers_removed|wide_space_normalized
331,46,come over,"1. 오다, 찾아오다 2. 엄습하다","오다, 찾아오다; 엄습하다",numbered_markers_removed|wide_space_normalized
926,51,in charge,"(of)   (~을) 맡고 있는, 담당의","(~을) 맡고 있는, 담당의",english_parenthetical_removed|wide_space_normalized
1417,61,reason,"1. 이유 2. 근거 3. 이성             판단하다, 추론하다","이유; 근거; 이성 판단하다, 추론하다",numbered_markers_removed|wide_space_normalized
461,64,criterion,"표준, 기준, 척도 (복수형 criteria)","표준, 기준, 척도",english_parenthetical_removed|wide_space_normalized
987,67,intend,1. 의도하다 2. ~할 작정이다,의도하다; ~할 작정이다,numbered_markers_removed|wide_space_normalized
2119,68,criteria,"명 ((criterion의 복수형)) 기준, 표준","명 () 기준, 표준",english_parenthetical_removed
2683,70,synonymous,형 1. 동의어[유의어]의 2. 아주 밀접한,형 동의어[유의어]의; 아주 밀접한,numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1868,71,utmost,"최대의, 극도의          최대한도","최대의, 극도의 최대한도",wide_space_normalized
6479,73,symphony,교향곡 (symphony의 오타),교향곡,english_parenthetical_removed|wide_space_normalized
1732,80,swap,"교환하다, 바꾸다         교환(품)","교환하다, 바꾸다 교환(품)",wide_space_normalized
1955,83,agreeable,형 1. 기분 좋은; 쾌활한 (↔ disagreeable 유쾌하지 않은; 무뚝뚝한),형 기분 좋은; 쾌활한,english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1049,84,lease,임대차 계약         임대하다,임대차 계약 임대하다,wide_space_normalized
1074,86,local,"지역의, 현지의           주민, 현지인","지역의, 현지의 주민, 현지인",wide_space_normalized
347,91,common,"1. 일반의, 흔한 ( rare) 2. 공통의","일반의, 흔한; 공통의",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1459,93,rent,"임대하다, 빌리다          세, 집세","임대하다, 빌리다 세, 집세",wide_space_normalized
2578,94,reception,"명 1. 접수처, 안내 데스크 2. 환영(회) 3. (전화 등의) 수신 (상태)","명 접수처, 안내 데스크; 환영(회); (전화 등의) 수신 (상태)",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
2101,95,cordial,"형 마음에서 우러난 (= sincere); 다정한, 따뜻한","형 마음에서 우러난; 다정한, 따뜻한",english_parenthetical_removed|wide_space_normalized
2120,98,crossroads,"명 1. 교차로, 네거리 2. (중요한) 갈림길, 기로 (= turning point)","명 교차로, 네거리; (중요한) 갈림길, 기로",english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
396,99,consensus,"의견 일치, 합의 (      agreement)","의견 일치, 합의",english_parenthetical_removed|wide_space_normalized
1126,102,measure,1. 측정하다 2. 평가하다           1. 대책 2. 척도,측정하다; 평가하다; 대책; 척도,numbered_markers_removed|wide_space_normalized
2184,103,drastic,형 급격한 (= radical); 과감한,형 급격한; 과감한,english_parenthetical_removed|wide_space_normalized
1388,109,purify,1. 정화하다 2. 순화하다,정화하다; 순화하다,numbered_markers_removed|wide_space_normalized
1153,110,modify,"1. 변경하다, 수정하다 2. 【문법】 수식하다","변경하다, 수정하다; 【문법】 수식하다",numbered_markers_removed|wide_space_normalized
437,113,coordinate,"1. 조직화하다, 편성하다 2. 조정하다               동등한","조직화하다, 편성하다; 조정하다 동등한",numbered_markers_removed|wide_space_normalized
312,116,code,1. 법전 2. 규범 3. 암호,법전; 규범; 암호,numbered_markers_removed|wide_space_normalized
1761,117,tangible,"1. 만질 수 있는, 실체가 있는 2. 명백한","만질 수 있는, 실체가 있는; 명백한",numbered_markers_removed|wide_space_normalized
2679,118,sustainable,형 1. (환경 파괴 없이) 지속 가능한,형 (환경 파괴 없이) 지속 가능한,numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
377,119,concrete,1. 구체적인 2. 콘크리트로 만든            콘크리트,구체적인; 콘크리트로 만든 콘크리트,numbered_markers_removed|wide_space_normalized
1205,120,objective,"객관적인       목표, 목적 (   goal)","객관적인 목표, 목적",english_parenthetical_removed|wide_space_normalized
908,121,immediate,"1. 즉각적인 2. 시급한, 당면한 3. 직접적인","즉각적인; 시급한, 당면한; 직접적인",numbered_markers_removed|wide_space_normalized
1676,122,strategy,"1. 전략, 전술 2. 계략, 술수","전략, 전술; 계략, 술수",numbered_markers_removed|wide_space_normalized
2132,124,definite,"형 명확한, 확실한 (= clear, straightforward)(↔ indefinite 불분명한); 확신하는","형 명확한, 확실한; 확신하는",english_parenthetical_removed|wide_space_normalized
1861,126,uphold,(upheld–upheld) 1. 지지하다 2. 떠받치다,지지하다; 떠받치다,english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1680,128,strive,"(strove - striven) 노력하다, 분발하다","노력하다, 분발하다",english_parenthetical_removed|wide_space_normalized
2663,129,strengthen,"동 강화하다, 강화되다 (↔ weaken 약화하다, 약화시키다)","동 강화하다, 강화되다",english_parenthetical_removed|wide_space_normalized
1474,130,resolve,1. 해결하다 2. 결심하다,해결하다; 결심하다,numbered_markers_removed|wide_space_normalized
1336,138,preserve,"1. 지키다, 보호하다 2. 유지하다","지키다, 보호하다; 유지하다",numbered_markers_removed|wide_space_normalized
2693,144,temporal,"형 1. 시간의 2. 속세의, 현세의 3. 순간[일시]적인, 한때의","형 시간의; 속세의, 현세의; 순간[일시]적인, 한때의",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
400,146,conserve,"보존하다, 보호하다 (         preserve)","보존하다, 보호하다",english_parenthetical_removed|wide_space_normalized
390,147,confront,1. 직면하다 2. 맞서다,직면하다; 맞서다,numbered_markers_removed|wide_space_normalized
488,149,deal,"(dealt - dealt) 1. 다루다, 처리하다 2. 거래하다 3. (카드를) 나누다","다루다, 처리하다; 거래하다; (카드를) 나누다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1705,151,sufficient,충분한 (      adequate      insufficient),충분한,english_parenthetical_removed|wide_space_normalized
1229,154,oral,1. 입의 2. 구술의       구술시험,입의; 구술의 구술시험,numbered_markers_removed|wide_space_normalized
1895,156,virtual,"1. 실질상의, 실제의 2. 가상(假想)의","실질상의, 실제의; 가상(假想)의",numbered_markers_removed|wide_space_normalized
815,160,get to,1. ~에 도착하다 2. ~하기 시작하다,~에 도착하다; ~하기 시작하다,numbered_markers_removed|wide_space_normalized
1094,164,magnitude,"1. 거대함 2. 중요함, 중대성","거대함; 중요함, 중대성",numbered_markers_removed|wide_space_normalized
1353,168,proceed,"1. 계속하다[되다], 진행하다[되다] 2. 나아가다","계속하다[되다], 진행하다[되다]; 나아가다",numbered_markers_removed|wide_space_normalized
2213,169,enlarge,"동 확대하다, 확장하다 (= expand)(↔ reduce 축소하다)","동 확대하다, 확장하다",english_parenthetical_removed|wide_space_normalized
287,171,check out,1. (호텔에서) 체크아웃하다 2. 검사하다,(호텔에서) 체크아웃하다; 검사하다,numbered_markers_removed|wide_space_normalized
577,175,dispense with,1. 생략하다 2. ~없이 지내다,생략하다; ~없이 지내다,numbered_markers_removed|wide_space_normalized
95,183,anticipate,"1. 예상하다, 예측하다 2. 기대하다","예상하다, 예측하다; 기대하다",numbered_markers_removed|wide_space_normalized
1898,185,vital,"1. 매우 중요한, 필수적인 2. 활기찬 3. 생명 유지에 필요한","매우 중요한, 필수적인; 활기찬; 생명 유지에 필요한",numbered_markers_removed|wide_space_normalized
677,186,essential,"1. 본질적인 2. 가장 중요한, 필수의           기본적인 요소","본질적인; 가장 중요한, 필수의 기본적인 요소",numbered_markers_removed|wide_space_normalized
1695,187,substance,"1. 물질 2. 본질, 실체 3. 요지","물질; 본질, 실체; 요지",numbered_markers_removed|wide_space_normalized
635,188,element,"1. 요소, 성분 2. 【화학】 원소","요소, 성분; 【화학】 원소",numbered_markers_removed|wide_space_normalized
1475,190,resource,1. 자원 2. 원천,자원; 원천,numbered_markers_removed|wide_space_normalized
1064,191,liquid,"액체의, 맑은       액체 (    fluid   solid)","액체의, 맑은 액체",english_parenthetical_removed|wide_space_normalized
759,192,fluid,1. 유동성의 2. 유동적인           유동체(액체·기체의 총칭),유동성의; 유동적인 유동체(액체·기체의 총칭),numbered_markers_removed|wide_space_normalized
368,193,compound,"혼합[합성]물, 합성어          합성의      1. 혼합[합성]하다 2. 악화시키다","혼합[합성]물, 합성어 합성의; 혼합[합성]하다; 악화시키다",numbered_markers_removed|wide_space_normalized
1045,196,leak,(물·공기 등이) 새다           새는 구멍,(물·공기 등이) 새다 새는 구멍,wide_space_normalized
2143,199,deplete,"동 대폭 감소시키다; 고갈시키다 (= use up, exhaust)",동 대폭 감소시키다; 고갈시키다,english_parenthetical_removed|wide_space_normalized
1665,200,stick,(stuck - stuck) 1. 찌르다 2. 붙이다 3. 꼼짝하지 않다            막대기,찌르다; 붙이다; 꼼짝하지 않다 막대기,english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
274,202,caution,"1. 조심, 신중 2. 경고        경고하다","조심, 신중; 경고 경고하다",numbered_markers_removed|wide_space_normalized
302,208,circumstance,"((주로 ~s)) 1. 상황, 주위 사정 2. (경제적) 형편, 처지","(); 상황, 주위 사정; (경제적) 형편, 처지",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
408,210,constitute,1. 구성하다 2. ~로 간주되다 3. 설립하다,구성하다; ~로 간주되다; 설립하다,numbered_markers_removed|wide_space_normalized
2715,212,turn over,"1. 뒤집다 (= flip) 2. (권리, 책임 등을) 넘겨주다","뒤집다; (권리, 책임 등을) 넘겨주다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1843,213,turn off,1. 잠그다 2. 끄다,잠그다; 끄다,numbered_markers_removed|wide_space_normalized
1292,215,perspective,"1. 견해, 관점 2. 원근법","견해, 관점; 원근법",numbered_markers_removed|wide_space_normalized
16,216,abstract,1. 추상적인 2. 이론적인          1. 추출하다 2. 요약하다            1. 추상 2. 요약,추상적인; 이론적인; 추출하다; 요약하다; 추상; 요약,numbered_markers_removed|wide_space_normalized
983,217,integral,"1. 없어서는 안 될, 필수의 2. 통합된, 완전한","없어서는 안 될, 필수의; 통합된, 완전한",numbered_markers_removed|wide_space_normalized
366,218,component,"구성 요소, 성분, 부품         구성하는","구성 요소, 성분, 부품 구성하는",wide_space_normalized
1572,220,shed,"(shed - shed) 1. 없애다 2. 떨어뜨리다, 흘리다 3. (빛을) 비추다            헛간","없애다; 떨어뜨리다, 흘리다; (빛을) 비추다 헛간",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
392,224,congestion,"밀집, 혼잡 (    crowding)","밀집, 혼잡",english_parenthetical_removed|wide_space_normalized
710,225,extent,"1. 범위, 정도 2. 넓이, 크기","범위, 정도; 넓이, 크기",numbered_markers_removed|wide_space_normalized
2238,231,exemplify,동 예를 들다 (= illustrate); 전형적인 예가 되다,동 예를 들다; 전형적인 예가 되다,english_parenthetical_removed|wide_space_normalized
5627,233,edition,판 (edition의 오타),판,english_parenthetical_removed|wide_space_normalized
2731,235,version,"명 1. (어떤 것의) -판(版), 형태 2. (개인의) 설명, 견해","명 (어떤 것의) -판(版), 형태; (개인의) 설명, 견해",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
941,239,industrial,1. 산업[공업]의 2. 공업용의,산업[공업]의; 공업용의,numbered_markers_removed|wide_space_normalized
1349,241,private,"1. 사적인, 개인적인, 사유의 2. 비밀의","사적인, 개인적인, 사유의; 비밀의",numbered_markers_removed|wide_space_normalized
787,242,fundamental,"1. 근본적인, 기본적인 2. 중요한, 필수의","근본적인, 기본적인; 중요한, 필수의",numbered_markers_removed|wide_space_normalized
616,243,durable,"1. 내구력이 있는, 튼튼한 2. 영속성 있는","내구력이 있는, 튼튼한; 영속성 있는",numbered_markers_removed|wide_space_normalized
2034,245,break in,"1. (건물에) 침입하다 2. (대화에) 끼어들다, 방해하다 (= interrupt)","(건물에) 침입하다; (대화에) 끼어들다, 방해하다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
533,248,destined,"1. ~할 운명의, ~하기로 되어 있는 2. ((~ for)) ~행의","~할 운명의, ~하기로 되어 있는; () ~행의",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
2091,249,confederate,"명 1. 공범, 공모자 2. 동맹[연합]국           동 동맹하다       형 동맹의, 연합한","명 공범, 공모자; 동맹[연합]국 동 동맹하다 형 동맹의, 연합한",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1847,254,twilight,"1. 황혼, 땅거미 2. (전성기 뒤의) 황혼기, 쇠퇴기","황혼, 땅거미; (전성기 뒤의) 황혼기, 쇠퇴기",numbered_markers_removed|wide_space_normalized
2707,261,traverse,"동 가로지르다, 횡단[관통]하다                 명 횡단","동 가로지르다, 횡단[관통]하다 명 횡단",wide_space_normalized
1164,263,mortgage,1. 저당 2. 융자       저당 잡히다,저당; 융자 저당 잡히다,numbered_markers_removed|wide_space_normalized
1682,267,struggle,"1. 버둥거리다, 허덕이다 2. 분투하다, 열심히 노력하다","버둥거리다, 허덕이다; 분투하다, 열심히 노력하다",numbered_markers_removed|wide_space_normalized
730,271,fancy,"상상, 공상        1. 화려한, 장식적인 2. 고급의, 비싼","상상, 공상; 화려한, 장식적인; 고급의, 비싼",numbered_markers_removed|wide_space_normalized
2598,273,resort,"동 의지하다        명 1. 의지, 의존 2. 휴양지, 리조트","동 의지하다 명 의지, 의존; 휴양지, 리조트",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
487,274,dawn,"1. 새벽, 동틀 녘 2. 시작, 발단       날이 새다","새벽, 동틀 녘; 시작, 발단 날이 새다",numbered_markers_removed|wide_space_normalized
424,276,contract,"계약(서)        1. 계약하다 2. 수축하다[시키다], 줄어들다 3. (병에) 걸리다","계약(서); 계약하다; 수축하다[시키다], 줄어들다; (병에) 걸리다",numbered_markers_removed|wide_space_normalized
1566,277,set up,"1. 시작하다, 창설하다 2. ~을 건립하다, 세우다","시작하다, 창설하다; ~을 건립하다, 세우다",numbered_markers_removed|wide_space_normalized
1564,278,set off,1. 출발하다 2. ~을 폭발시키다,출발하다; ~을 폭발시키다,numbered_markers_removed|wide_space_normalized
2588,287,rejoice,동 크게 기뻐하다                                                                        PART 8,동 크게 기뻐하다,pdf_part_artifact_removed|wide_space_normalized
1431,288,refine,"1. 정제하다 2. 개선하다, 다듬다","정제하다; 개선하다, 다듬다",numbered_markers_removed|wide_space_normalized
1711,289,summit,"1. 정상, 꼭대기 2. 정상 회담","정상, 꼭대기; 정상 회담",numbered_markers_removed|wide_space_normalized
273,291,cattle,1. 소 2. 가축,소; 가축,numbered_markers_removed|wide_space_normalized
2604,294,ritual,"명 1. (종교상의) 의식, 의례 (= rite, ceremony)     2. (항상 하는) 의례적인 일","명 (종교상의) 의식, 의례; (항상 하는) 의례적인 일",english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1258,296,paddle,노       노를 저어 나아가다,노 노를 저어 나아가다,wide_space_normalized
1863,297,urban,"도시의, 도시에 사는 (     rural)","도시의, 도시에 사는",english_parenthetical_removed|wide_space_normalized
2582,300,reconcile,"동 1. 화해시키다 (= reunite)      2. 일치시키다, 조화시키다","동 화해시키다; 일치시키다, 조화시키다",english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1332,301,preliminary,"예비의, 준비의         1. 예비 단계 2. 예선","예비의, 준비의; 예비 단계; 예선",numbered_markers_removed|wide_space_normalized
1075,304,locate,"1. 위치하다 2. (위치를) 알아내다 3. (특정 위치에) 두다, 설치하다","위치하다; (위치를) 알아내다; (특정 위치에) 두다, 설치하다",numbered_markers_removed|wide_space_normalized
2173,310,district,"명 지역 (= region), 구역","명 지역 , 구역",english_parenthetical_removed
1271,311,pastoral,"1. 전원생활의, 시골의 2. 목사(직무)의","전원생활의, 시골의; 목사(직무)의",numbered_markers_removed|wide_space_normalized
948,319,inflate,1. 부풀리다[부풀다] 2. 과장하다 3. (물가·가격을) 올리다[오르다],부풀리다[부풀다]; 과장하다; (물가·가격을) 올리다[오르다],numbered_markers_removed|wide_space_normalized
934,321,incur,1. 초래하다 2. (빚 등을) 지다,초래하다; (빚 등을) 지다,numbered_markers_removed|wide_space_normalized
1225,329,opposite,1. 정반대의 2. 반대쪽의            ~의 맞은편에       반대(되는 것),정반대의; 반대쪽의 ~의 맞은편에 반대(되는 것),numbered_markers_removed|wide_space_normalized
556,331,diplomatic,1. 외교의 2. 외교에 능한,외교의; 외교에 능한,numbered_markers_removed|wide_space_normalized
1348,335,prior,"1. 이전의, 먼저의 2. (~에) 우선하는","이전의, 먼저의; (~에) 우선하는",numbered_markers_removed|wide_space_normalized
270,336,casual,"1. 느긋한, 무관심한 2. 평상시의 3. 우연한              평상복","느긋한, 무관심한; 평상시의; 우연한 평상복",numbered_markers_removed|wide_space_normalized
1931,338,worship,"1. 숭배하다 2. 예배를 보다              숭배, 예배","숭배하다; 예배를 보다 숭배, 예배",numbered_markers_removed|wide_space_normalized
789,339,furnish,"1. (가구를) 비치하다 2. 제공하다, 공급하다","(가구를) 비치하다; 제공하다, 공급하다",numbered_markers_removed|wide_space_normalized
2129,344,defend,동 1. 방어하다 (= protect); 수비하다 2. 옹호하다; 변호하다,동 방어하다; 수비하다; 옹호하다; 변호하다,english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
2378,345,justice,"명 1. 정의(正義); 공정, 정당성(↔ injustice 불평등, 부당성)        2. 사법, 재판(관)","명 정의(正義); 공정, 정당성; 사법, 재판(관)",english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
774,347,foster,"1. 육성하다, 촉진하다 2. 양육하다","육성하다, 촉진하다; 양육하다",numbered_markers_removed|wide_space_normalized
771,348,formulate,1. 고안하다 2. 명확히 나타내다,고안하다; 명확히 나타내다,numbered_markers_removed|wide_space_normalized
1813,349,trail,"1. (질질) 끌다[끌리다] 2. 추적하다            1. 오솔길 2. 자국, 흔적","(질질) 끌다[끌리다]; 추적하다; 오솔길; 자국, 흔적",numbered_markers_removed|wide_space_normalized
371,350,compromise,"타협, 절충        타협하다, 화해하다","타협, 절충 타협하다, 화해하다",wide_space_normalized
714,351,extract,"1. 뽑다, 추출하다 2. 발췌하다           1. 발췌 2. 추출(물)","뽑다, 추출하다; 발췌하다; 발췌; 추출(물)",numbered_markers_removed|wide_space_normalized
2269,352,frontier,"명 1. 국경 (지역); 경계 2. (학문, 지식 등의) 한계","명 국경 (지역); 경계; (학문, 지식 등의) 한계",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
706,354,exploit,"1. (부당하게) 이용하다, 착취하다 2. (자원 등을) 개발하다","(부당하게) 이용하다, 착취하다; (자원 등을) 개발하다",numbered_markers_removed|wide_space_normalized
692,356,exclude,1. 제외하다 2. 차단하다,제외하다; 차단하다,numbered_markers_removed|wide_space_normalized
678,357,establish,"수립하다, 설립하다 (         found)","수립하다, 설립하다",english_parenthetical_removed|wide_space_normalized
2223,358,erect,동 1. 건설하다 (= build) 2. (똑바로) 세우다         형 똑바로 선 (= upright),동 건설하다; (똑바로) 세우다 형 똑바로 선,english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
642,361,embrace,"1. 포옹하다 ( hug) 2. 받아들이다             1. 포옹 2. 수락, 용인","포옹하다; 받아들이다; 포옹; 수락, 용인",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
617,363,dwell,"(dwelled/dwelt - dwelled/dwelt) 살다, 거주하다","살다, 거주하다",english_parenthetical_removed|wide_space_normalized
590,364,distribute,"1. 나누어 주다, 분배하다 ( give out) 2. 유통시키다","나누어 주다, 분배하다; 유통시키다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1017,366,issue,"1. 논점, 쟁점 2. 발행(물)             1. 발표[공표]하다 2. 발행하다","논점, 쟁점; 발행(물); 발표[공표]하다; 발행하다",numbered_markers_removed|wide_space_normalized
1567,369,settle,"1. (분쟁 등을) 해결하다, 끝내다 2. 정착하다 3. 진정시키다","(분쟁 등을) 해결하다, 끝내다; 정착하다; 진정시키다",numbered_markers_removed|wide_space_normalized
2174,371,divorce,"동 1. 이혼하다 2. 분리하다, 단절시키다 (= disconnect)                 명 1. 이혼 2. 분리, 단절","동 이혼하다; 분리하다, 단절시키다 명 이혼; 분리, 단절",english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
709,372,extend,1. 연장하다 2. 뻗다 3. 확장하다,연장하다; 뻗다; 확장하다,numbered_markers_removed|wide_space_normalized
2203,373,embark,"동 1. (배에) 승선하다; 짐을 싣다 2. 착수하다, 시작하다","동 (배에) 승선하다; 짐을 싣다; 착수하다, 시작하다",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
223,374,break up,1. 갈라서다 2. 박살을 내다,갈라서다; 박살을 내다,numbered_markers_removed|wide_space_normalized
220,375,break off,1. (~와의) 관계를 단절하다 2. (협상 등이) 결렬되다,(~와의) 관계를 단절하다; (협상 등이) 결렬되다,numbered_markers_removed|wide_space_normalized
2006,376,automate,동 자동화하다                                                                        PART 6,동 자동화하다,pdf_part_artifact_removed|wide_space_normalized
50,377,adopt,1. 입양하다 2. 채택[채용]하다,입양하다; 채택[채용]하다,numbered_markers_removed|wide_space_normalized
472,378,cultivate,"1. 경작하다, 재배하다 2. (능력 등을) 양성하다, 계발하다","경작하다, 재배하다; (능력 등을) 양성하다, 계발하다",numbered_markers_removed|wide_space_normalized
214,380,border,"1. 경계, 국경 2. 가장자리         접경[인접]하다","경계, 국경; 가장자리 접경[인접]하다",numbered_markers_removed|wide_space_normalized
2096,381,conspire,"동 1. 공모하다, 음모를 꾸미다 2. (난처한 일이) 동시에 일어나다","동 공모하다, 음모를 꾸미다; (난처한 일이) 동시에 일어나다",numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
356,385,compete,"1. 경쟁하다 2. 겨루다, (시합 등에) 참가하다","경쟁하다; 겨루다, (시합 등에) 참가하다",numbered_markers_removed|wide_space_normalized
683,386,ethnic,"민족의, 혈통의, 인종의 (            racial)   종족","민족의, 혈통의, 인종의 종족",english_parenthetical_removed|wide_space_normalized
226,392,breed,"(bred - bred) 1. 번식하다 2. 사육하다, 재배하다              (가축의) 품종","번식하다; 사육하다, 재배하다 (가축의) 품종",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
195,393,bind,"(bound - bound) 1. 묶다, 감다 2. 결속시키다 3. 의무를 지우다","묶다, 감다; 결속시키다; 의무를 지우다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
171,397,barter,"물물교환           물물교환을 하다, 교역하다","물물교환 물물교환을 하다, 교역하다",wide_space_normalized
430,398,convention,"1. 집회, 총회 2. 관습","집회, 총회; 관습",numbered_markers_removed|wide_space_normalized
1550,402,seek,1. 추구하다 ( pursue) 2. 찾다 ( search),추구하다; 찾다,english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
660,407,engage,"1. 참여하다, 관여하다 2. 고용하다 3. (관심을) 끌다 4. 관계를 맺다","참여하다, 관여하다; 고용하다; (관심을) 끌다; 관계를 맺다",numbered_markers_removed|wide_space_normalized
2097,409,contend,동 1. 싸우다; 겨루다 (= compete)      2. (언쟁 중에) 주장하다,동 싸우다; 겨루다; (언쟁 중에) 주장하다,english_parenthetical_removed|numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
410,410,construct,"1. 건설하다, 조립하다 2. 구성하다              구조물","건설하다, 조립하다; 구성하다 구조물",numbered_markers_removed|wide_space_normalized
867,411,harvest,"수확, 추수      수확하다","수확, 추수 수확하다",wide_space_normalized
1979,412,appraise,동 1. 평가하다; 감정하다 2. 살피다,동 평가하다; 감정하다; 살피다,numbered_markers_removed|pos_marker_spacing_fixed|wide_space_normalized
1811,420,trace,"자취, 흔적        1. 추적하다 2. (원인·유래 등을) 밝혀내다","자취, 흔적; 추적하다; (원인·유래 등을) 밝혀내다",numbered_markers_removed|wide_space_normalized
566,423,discord,"1. 불화, 불일치 2. 불협화음","불화, 불일치; 불협화음",numbered_markers_removed|wide_space_normalized
990,424,interchange,"교환하다         1. 교환 2. (고속도로의) 교차점, 분기점","교환하다; 교환; (고속도로의) 교차점, 분기점",numbered_markers_removed|wide_space_normalized
161,425,awkward,"1. 다루기 힘든 2. 어색한 3. 서투른, 미숙한","다루기 힘든; 어색한; 서투른, 미숙한",numbered_markers_removed|wide_space_normalized
